Age,Age Group,Attrition,Attrition Flag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income Group,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Tenure Group,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,Mid-Career,No,0,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,Medium Income,23177,7,Y,No,16,3,3,80,2,8,2,2,6,Experienced,2,0,4
38,Mid-Career,No,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,Male,92,2,3,Research Director,4,Divorced,11510,High Income,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,Veteran,10,2,9
31,Mid-Career,No,0,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,Medium Income,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,Veteran,9,4,10
29,Young,No,0,Travel_Rarely,144,Sales,10,1,Marketing,1,463,4,Female,39,2,2,Sales Executive,2,Divorced,8268,Medium Income,11866,1,Y,Yes,14,3,1,80,2,7,2,3,7,Experienced,7,1,7
35,Mid-Career,No,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,Male,62,3,3,Manufacturing Director,2,Single,8095,Medium Income,18264,0,Y,No,13,3,4,80,0,17,5,3,16,Veteran,6,0,13
23,Young,No,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,Low Income,16092,1,Y,No,12,3,3,80,2,4,2,2,4,Experienced,2,0,2
41,Mid-Career,No,0,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,Male,95,2,2,Manufacturing Director,2,Single,6032,Medium Income,10110,6,Y,Yes,15,3,4,80,0,8,3,3,5,Experienced,4,1,2
47,Senior,No,0,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,99,3,2,Sales Representative,3,Single,2976,Low Income,25751,3,Y,No,19,3,1,80,0,5,3,3,0,New Employee,0,0,0
42,Mid-Career,No,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,Female,44,3,4,Research Director,4,Single,15992,High Income,15901,2,Y,No,14,3,2,80,0,16,2,3,1,New Employee,0,0,0
29,Young,No,0,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,Male,61,3,2,Sales Executive,3,Married,4649,Low Income,16928,1,Y,No,14,3,1,80,1,4,3,2,4,Experienced,3,0,2
42,Mid-Career,No,0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,3,Male,52,3,1,Human Resources,3,Divorced,2696,Low Income,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,Experienced,2,1,0
32,Mid-Career,No,0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,Female,75,3,1,Laboratory Technician,2,Married,2370,Low Income,3956,1,Y,No,13,3,3,80,1,8,4,3,8,Veteran,0,0,7
48,Senior,No,0,Travel_Rarely,530,Sales,29,1,Medical,1,473,1,Female,91,3,3,Manager,3,Married,12504,High Income,23978,3,Y,No,21,4,2,80,1,15,3,1,0,New Employee,0,0,0
37,Mid-Career,No,0,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,Medium Income,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,Experienced,7,6,7
30,Mid-Career,No,0,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,Female,85,3,2,Sales Executive,3,Married,4736,Low Income,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,New Employee,2,2,2
26,Young,No,0,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,Male,57,3,2,Sales Executive,3,Married,5296,Medium Income,20156,1,Y,No,17,3,2,80,1,8,3,3,8,Veteran,7,7,7
42,Mid-Career,No,0,Travel_Rarely,1332,Research & Development,2,4,Other,1,477,1,Male,98,2,2,Healthcare Representative,4,Single,6781,Medium Income,17078,3,Y,No,23,4,2,80,0,14,6,3,1,New Employee,0,0,0
21,Young,Yes,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174,Low Income,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,Experienced,2,1,2
36,Mid-Career,No,0,Non-Travel,845,Sales,1,5,Medical,1,479,4,Female,45,3,2,Sales Executive,4,Single,6653,Medium Income,15276,4,Y,No,15,3,2,80,0,7,6,3,1,New Employee,0,0,0
36,Mid-Career,No,0,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,48,2,3,Sales Executive,4,Married,9699,Medium Income,7246,4,Y,No,11,3,1,80,1,16,2,3,13,Veteran,9,1,12
57,Senior,No,0,Travel_Rarely,593,Research & Development,1,4,Medical,1,482,4,Male,88,3,2,Healthcare Representative,3,Married,6755,Medium Income,2967,2,Y,No,11,3,3,80,0,15,2,3,3,Experienced,2,1,2
40,Mid-Career,No,0,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,1,483,4,Female,46,4,1,Laboratory Technician,3,Married,2213,Low Income,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,Experienced,7,1,7
21,Young,No,0,Non-Travel,895,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single,2610,Low Income,2851,1,Y,No,24,4,3,80,0,3,3,2,3,Experienced,2,2,2
33,Mid-Career,Yes,1,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,Female,34,3,1,Sales Representative,3,Single,2851,Low Income,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,New Employee,0,0,0
37,Mid-Career,No,0,Travel_Rarely,921,Research & Development,10,3,Medical,1,486,3,Female,98,3,1,Laboratory Technician,1,Married,3452,Low Income,17663,6,Y,No,20,4,2,80,1,17,3,3,5,Experienced,4,0,3
46,Senior,No,0,Non-Travel,1144,Research & Development,7,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258,Medium Income,16044,2,Y,No,14,3,3,80,0,7,2,4,1,New Employee,0,0,0
41,Mid-Career,Yes,1,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,56,3,2,Sales Executive,2,Single,9355,Medium Income,9558,1,Y,No,18,3,3,80,0,8,5,3,8,Veteran,7,7,7
50,Senior,No,0,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496,High Income,2755,6,Y,No,15,3,4,80,0,20,2,3,4,Experienced,3,1,3
40,Mid-Career,Yes,1,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,Male,68,2,2,Sales Executive,3,Married,6380,Medium Income,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,Experienced,4,1,0
31,Mid-Career,No,0,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,Single,2657,Low Income,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,New Employee,2,2,2
21,Young,Yes,1,Travel_Rarely,156,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single,2716,Low Income,25422,1,Y,No,15,3,4,80,0,1,0,3,1,New Employee,0,0,0
29,Young,No,0,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,1,495,4,Male,54,3,1,Research Scientist,4,Single,2201,Low Income,18168,9,Y,No,16,3,4,80,0,6,4,3,3,Experienced,2,1,2
35,Mid-Career,No,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,1,496,3,Male,97,2,2,Healthcare Representative,2,Single,6540,Medium Income,19394,9,Y,No,19,3,3,80,0,10,5,3,1,New Employee,1,0,0
27,Young,No,0,Travel_Rarely,1469,Research & Development,1,2,Medical,1,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,Low Income,17881,1,Y,No,11,3,2,80,1,5,2,3,5,Experienced,2,0,4
28,Young,No,0,Travel_Rarely,304,Sales,9,4,Life Sciences,1,498,2,Male,92,3,2,Sales Executive,4,Single,5253,Medium Income,20750,1,Y,No,16,3,4,80,0,7,1,3,7,Experienced,5,0,7
49,Senior,No,0,Travel_Rarely,1261,Research & Development,7,3,Other,1,499,2,Male,31,2,3,Healthcare Representative,3,Single,10965,High Income,12066,8,Y,No,24,4,3,80,0,26,2,3,5,Experienced,2,0,0
51,Senior,No,0,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,500,3,Female,87,3,2,Sales Executive,4,Married,4936,Low Income,14862,4,Y,No,11,3,3,80,1,18,2,2,7,Experienced,7,0,7
36,Mid-Career,No,0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,1,501,4,Female,96,3,1,Research Scientist,3,Married,2543,Low Income,11868,4,Y,No,13,3,2,80,1,6,3,3,2,New Employee,2,2,2
34,Mid-Career,Yes,1,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,Male,67,4,2,Sales Executive,4,Single,5304,Medium Income,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,Experienced,2,0,4
55,Senior,No,0,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,505,3,Female,97,3,4,Manager,4,Single,16659,High Income,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,Experienced,4,1,2
24,Young,No,0,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,Low Income,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,Experienced,2,0,3
30,Mid-Career,No,0,Travel_Rarely,202,Sales,2,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,Married,2476,Low Income,17434,1,Y,No,18,3,1,80,1,1,3,3,1,New Employee,0,0,0
26,Young,Yes,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,1,510,3,Male,73,3,1,Research Scientist,1,Single,3102,Low Income,6582,0,Y,No,22,4,3,80,0,7,2,3,6,Experienced,4,0,4
22,Young,No,0,Travel_Rarely,253,Research & Development,11,3,Medical,1,511,1,Female,43,3,1,Research Scientist,2,Married,2244,Low Income,24440,1,Y,No,13,3,4,80,1,2,1,3,2,New Employee,1,1,2
36,Mid-Career,No,0,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,61,2,3,Sales Executive,3,Married,7596,Medium Income,3809,1,Y,No,13,3,2,80,2,10,2,3,10,Veteran,9,9,0
30,Mid-Career,Yes,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,Male,40,3,1,Research Scientist,4,Single,2285,Low Income,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,New Employee,0,0,0
37,Mid-Career,No,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,Low Income,26914,1,Y,No,12,3,3,80,1,18,2,2,18,Veteran,7,12,17
40,Mid-Career,No,0,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715,Medium Income,22553,7,Y,No,12,3,3,80,2,8,5,3,5,Experienced,4,1,3
42,Mid-Career,No,0,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,Low Income,20490,3,Y,No,16,3,2,80,1,8,5,3,5,Experienced,2,1,2
37,Mid-Career,No,0,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197,Low Income,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,New Employee,0,0,1
43,Mid-Career,No,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,Male,59,2,4,Research Director,2,Divorced,14336,High Income,4345,1,Y,No,11,3,3,80,1,25,3,3,25,Veteran,10,3,9
40,Mid-Career,No,0,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448,Low Income,13436,6,Y,No,22,4,2,80,1,20,3,3,1,New Employee,0,0,0
54,Senior,No,0,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,Male,86,3,5,Research Director,1,Married,19406,High Income,8509,4,Y,No,11,3,3,80,1,24,4,2,4,Experienced,2,1,2
34,Mid-Career,No,0,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married,6538,Medium Income,12740,9,Y,No,15,3,1,80,1,6,3,3,3,Experienced,2,1,2
31,Mid-Career,No,0,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306,Low Income,4156,1,Y,No,12,3,2,80,1,13,5,1,13,Veteran,10,3,12
43,Mid-Career,No,0,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258,Low Income,15238,7,Y,No,20,4,1,80,1,8,1,3,3,Experienced,2,1,2
43,Mid-Career,No,0,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,Low Income,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,Experienced,2,0,2
25,Young,No,0,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,4487,Low Income,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,Experienced,4,1,3
37,Mid-Career,No,0,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,4449,Low Income,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,Veteran,11,10,7
31,Mid-Career,No,0,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218,Low Income,16193,1,Y,No,12,3,3,80,1,4,3,3,4,Experienced,2,3,2
39,Mid-Career,No,0,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,1,531,2,Male,52,3,5,Manager,3,Divorced,19197,High Income,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,Veteran,8,1,6
56,Senior,No,0,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,13212,High Income,18256,9,Y,No,11,3,4,80,3,36,0,2,7,Experienced,7,7,7
30,Mid-Career,No,0,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,Female,83,3,2,Sales Executive,3,Single,6577,Medium Income,19558,0,Y,No,11,3,2,80,0,6,6,3,5,Experienced,4,4,4
41,Mid-Career,No,0,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,8392,Medium Income,19566,1,Y,No,16,3,3,80,1,10,2,3,10,Veteran,7,0,7
28,Young,No,0,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,Low Income,13535,1,Y,No,12,3,4,80,1,10,2,3,10,Veteran,0,1,8
25,Young,Yes,1,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031,Low Income,9396,5,Y,No,13,3,3,80,1,6,5,3,2,New Employee,2,0,2
52,Senior,No,0,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969,Medium Income,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,Experienced,4,0,4
45,Mid-Career,No,0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,Married,2654,Low Income,9655,3,Y,No,21,4,4,80,2,8,3,2,2,New Employee,2,0,2
52,Senior,No,0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,1,546,4,Female,30,3,4,Manager,4,Married,16555,High Income,10310,2,Y,No,13,3,4,80,0,31,2,1,5,Experienced,2,1,4
42,Mid-Career,No,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556,Low Income,12932,2,Y,No,11,3,2,80,1,19,3,3,5,Experienced,4,0,2
30,Mid-Career,No,0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,Female,43,1,2,Manufacturing Director,4,Single,6091,Medium Income,24793,2,Y,No,20,4,3,80,0,11,2,3,5,Experienced,4,0,2
60,Senior,No,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,549,1,Female,41,3,5,Manager,1,Married,19566,High Income,3854,5,Y,No,11,3,4,80,0,33,5,1,29,Veteran,8,11,10
46,Senior,No,0,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,Low Income,26314,2,Y,No,14,3,3,80,1,19,5,2,10,Veteran,7,0,8
42,Mid-Career,No,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523,Low Income,4386,0,Y,No,11,3,4,80,3,7,4,4,6,Experienced,5,0,4
24,Young,Yes,1,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202,Low Income,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,Experienced,3,1,4
34,Mid-Career,Yes,1,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351,Low Income,12253,0,Y,No,16,3,4,80,1,3,3,2,2,New Employee,2,1,0
38,Mid-Career,No,0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702,Low Income,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,New Employee,0,0,0
40,Mid-Career,No,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,558,3,Female,79,3,5,Manager,3,Married,18041,High Income,13022,0,Y,No,14,3,4,80,0,21,2,3,20,Veteran,15,1,12
26,Young,No,0,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886,Low Income,3032,1,Y,No,22,4,2,80,2,3,3,1,3,Experienced,2,0,2
30,Mid-Career,No,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,Male,53,3,1,Laboratory Technician,4,Married,2097,Low Income,16734,4,Y,No,15,3,3,80,1,9,3,1,5,Experienced,3,1,4
29,Young,No,0,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,11935,High Income,21526,1,Y,No,18,3,3,80,0,10,2,3,10,Veteran,2,0,7
29,Young,Yes,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,3,Female,71,2,1,Research Scientist,2,Married,2546,Low Income,18300,5,Y,No,16,3,2,80,0,6,2,4,2,New Employee,2,1,1
19,Young,Yes,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,2564,Low Income,18437,1,Y,No,12,3,3,80,0,1,3,4,1,New Employee,0,0,0
30,Mid-Career,No,0,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married,8412,Medium Income,2890,0,Y,No,11,3,3,80,0,10,3,3,9,Veteran,8,7,8
57,Senior,No,0,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,14118,High Income,22102,3,Y,No,12,3,3,80,1,32,3,2,1,New Employee,0,0,0
50,Senior,No,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,569,2,Male,88,2,4,Manager,3,Married,17046,High Income,9314,0,Y,No,15,3,2,80,1,28,2,3,27,Veteran,10,15,7
30,Mid-Career,No,0,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,Female,49,3,1,Laboratory Technician,4,Single,2564,Low Income,7181,0,Y,No,14,3,3,80,0,12,2,2,11,Veteran,7,6,7
60,Senior,No,0,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,Female,80,2,3,Sales Executive,1,Married,10266,High Income,2845,4,Y,No,19,3,4,80,0,22,5,4,18,Veteran,13,13,11
47,Senior,No,0,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,Medium Income,7389,5,Y,No,13,3,3,80,3,20,2,3,5,Experienced,0,0,4
46,Senior,No,0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,17861,High Income,2288,6,Y,No,13,3,3,80,0,26,2,1,3,Experienced,2,0,1
35,Mid-Career,No,0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,4,Male,46,1,1,Laboratory Technician,3,Single,4230,Low Income,19225,0,Y,No,15,3,3,80,0,6,2,3,5,Experienced,4,4,3
54,Senior,No,0,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,Female,42,3,2,Laboratory Technician,3,Single,3780,Low Income,23428,7,Y,No,11,3,3,80,0,19,3,3,1,New Employee,0,0,0
34,Mid-Career,No,0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,Male,62,2,1,Research Scientist,3,Divorced,2768,Low Income,8416,3,Y,No,12,3,3,80,1,14,3,3,7,Experienced,3,5,7
46,Senior,No,0,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,9071,Medium Income,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,Experienced,2,1,2
31,Mid-Career,No,0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,High Income,14394,1,Y,No,25,4,4,80,1,13,6,4,13,Veteran,8,0,8
33,Mid-Career,Yes,1,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,2,Male,56,3,3,Manager,3,Married,13610,High Income,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,Experienced,6,7,7
33,Mid-Career,Yes,1,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,Low Income,6705,7,Y,No,13,3,1,80,3,8,2,3,4,Experienced,3,1,3
30,Mid-Career,No,0,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,Male,57,3,1,Sales Representative,2,Single,2983,Low Income,18398,0,Y,No,14,3,1,80,0,4,3,3,3,Experienced,2,1,2
35,Mid-Career,No,0,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,4,Male,72,3,3,Healthcare Representative,3,Married,7632,Medium Income,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,Veteran,7,0,0
31,Mid-Career,Yes,1,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,587,1,Male,66,3,3,Healthcare Representative,3,Married,9824,Medium Income,22908,3,Y,No,12,3,1,80,0,12,2,3,1,New Employee,0,0,0
34,Mid-Career,Yes,1,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,2,Female,43,3,3,Human Resources,1,Divorced,9950,Medium Income,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,Experienced,2,0,2
42,Mid-Career,No,0,Travel_Frequently,1474,Research & Development,5,2,Other,1,591,2,Male,97,3,1,Laboratory Technician,3,Married,2093,Low Income,9260,4,Y,No,17,3,4,80,1,8,4,3,2,New Employee,2,2,0
36,Mid-Career,No,0,Non-Travel,635,Sales,10,4,Medical,1,592,2,Male,32,3,3,Sales Executive,4,Single,9980,Medium Income,15318,1,Y,No,14,3,4,80,0,10,3,2,10,Veteran,3,9,7
22,Young,Yes,1,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894,Low Income,9129,5,Y,No,16,3,3,80,0,4,3,3,2,New Employee,2,1,2
48,Senior,No,0,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,Married,4051,Low Income,19658,2,Y,No,14,3,1,80,1,14,2,3,9,Veteran,7,6,7
55,Senior,No,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,Female,83,3,4,Manager,2,Single,16835,High Income,9873,3,Y,No,23,4,4,80,0,37,2,3,10,Veteran,9,7,7
41,Mid-Career,No,0,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,Male,56,3,2,Sales Executive,4,Single,6230,Medium Income,13430,7,Y,No,14,3,4,80,0,16,3,3,14,Veteran,3,1,10
35,Mid-Career,No,0,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,Male,85,3,2,Sales Executive,3,Married,4717,Low Income,18659,9,Y,No,11,3,3,80,0,15,2,3,11,Veteran,9,6,9
40,Mid-Career,No,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,Single,13237,High Income,20364,7,Y,No,15,3,3,80,0,22,3,3,20,Veteran,6,5,13
39,Mid-Career,No,0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,602,3,Female,48,3,1,Laboratory Technician,3,Married,3755,Low Income,17872,1,Y,No,11,3,1,80,1,8,3,3,8,Veteran,3,0,7
31,Mid-Career,No,0,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,2,Male,77,3,2,Sales Executive,4,Single,6582,Medium Income,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,Experienced,5,0,5
42,Mid-Career,No,0,Travel_Rarely,319,Research & Development,24,3,Medical,1,605,4,Male,56,3,3,Manufacturing Director,1,Married,7406,Medium Income,6950,1,Y,Yes,21,4,4,80,1,10,5,2,10,Veteran,9,5,8
45,Mid-Career,No,0,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,61,3,2,Sales Executive,2,Married,4805,Low Income,16177,0,Y,No,19,3,2,80,1,9,3,4,8,Veteran,7,3,7
26,Young,Yes,1,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,2,Female,58,3,1,Human Resources,3,Divorced,2741,Low Income,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,Experienced,7,1,0
29,Young,No,0,Travel_Rarely,232,Research & Development,19,3,Technical Degree,1,611,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,Low Income,22645,4,Y,No,12,3,2,80,2,8,2,4,3,Experienced,2,1,2
33,Mid-Career,No,0,Travel_Rarely,922,Research & Development,1,5,Medical,1,612,1,Female,95,4,4,Research Director,3,Divorced,16184,High Income,22578,4,Y,No,19,3,3,80,1,10,2,3,6,Experienced,1,0,5
31,Mid-Career,No,0,Travel_Rarely,688,Sales,7,3,Life Sciences,1,613,3,Male,44,2,3,Manager,4,Divorced,11557,High Income,25291,9,Y,No,21,4,3,80,1,10,3,2,5,Experienced,4,0,1
18,Young,Yes,1,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,1878,Low Income,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,New Employee,0,0,0
40,Mid-Career,No,0,Non-Travel,1094,Sales,28,3,Other,1,615,3,Male,58,1,3,Sales Executive,1,Divorced,10932,High Income,11373,3,Y,No,15,3,3,80,1,20,2,3,1,New Employee,0,0,1
41,Mid-Career,No,0,Non-Travel,509,Research & Development,2,4,Other,1,616,1,Female,62,2,2,Healthcare Representative,3,Single,6811,Medium Income,2112,2,Y,Yes,17,3,1,80,0,10,3,3,8,Veteran,7,0,7
